date:2019-08-20 10:34:10  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"tP1JT2LtmrwEt8Tjcje2mjQWmm88jj5I","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082092626-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"AF2D1428BADB18C066BF083BD9191EF9","time_end":"20190820103409","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000382201908204622349340"}
date:2019-08-20 10:54:26  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"WPr5zXSzSRtYJjkK66TKwr88zt5YFh88","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082045286-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"73EDBEB7F0BAA9EA7B4E2BF8FE77DC0D","time_end":"20190820105425","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000381201908200005737555"}
date:2019-08-20 10:54:26  SH2019082045286-1001
date:2019-08-20 10:59:18  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"Q61h4D4d6M3wc0mC43763d3dy33zdiDw","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082044886-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"62765D85262F844FEB48607CDBB9363A","time_end":"20190820105917","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000379201908206538433068"}
date:2019-08-20 10:59:18  SH2019082044886-1001
date:2019-08-20 11:25:50  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"BN4fw7mIWorpb7RpWrf7iOwbrP0zpRrN","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082043882-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"083F76A9BA7B5002F003318719A0B745","time_end":"20190820112549","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000385201908203677057425"}
date:2019-08-20 11:25:50  SH2019082043882-1001
date:2019-08-20 13:38:14  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"XSzl5kX7tMMuxmtjZnxMjU82OUJN3ssn","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082042122-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"2A97B0BFE8A07639BCB17A25EECB43AA","time_end":"20190820133814","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000392201908206066325766"}
date:2019-08-20 13:38:14  SH2019082042122-1001
date:2019-08-20 14:56:52  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"iVPLL1Lq06Jzbn00jIlB980g0U466666","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082096249-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"9EB9C2FE0D8198F62659ECD84D833539","time_end":"20190820145652","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000389201908208717585458"}
date:2019-08-20 14:56:52  SH2019082096249-1001
date:2019-08-20 16:04:20  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"wA47pwno4MoA0M7y4Cz0yOE00B7vzO0w","openid":"oCMOfjs9x152cCkiRiwiT3b1SntQ","out_trade_no":"SH2019082080826-1","result_code":"SUCCESS","return_code":"SUCCESS","sign":"17937180ACBC4270978AD50167C2FB4B","time_end":"20190820160419","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000375201908207088729189"}
date:2019-08-20 16:04:20  SH2019082080826-1
date:2019-08-20 16:05:31  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"dWT7293A1lKm7KkooF3fOmmkWW2w3wSM","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082002222-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"2F4A45FBD90AE52153640894ED5BDEE3","time_end":"20190820160530","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000401201908209836829167"}
date:2019-08-20 16:05:31  SH2019082002222-1001
date:2019-08-20 16:08:33  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"f7zkb0bRR7qPxcGpPr06brqjVBRbkCrb","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082078857-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"1A8A2540DD3C666CD2AD2BECF249B526","time_end":"20190820160832","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000394201908200216211649"}
date:2019-08-20 16:08:33  SH2019082078857-1001
date:2019-08-20 16:36:33  {"appid":"wx54f542e66b7cd5d6","attach":"6:0","bank_type":"CFT","cash_fee":"1","device_info":"ewei_shopv2","fee_type":"CNY","is_subscribe":"Y","mch_id":"1522390291","nonce_str":"D25Um6955qM9JFlp939IWHu0zj321W1C","openid":"oCMOfjmsjVis565h_vGZOcePUp-Y","out_trade_no":"SH2019082044172-1001","result_code":"SUCCESS","return_code":"SUCCESS","sign":"C9C1C664F2DD16A0193ABDB5FF5B1996","time_end":"20190820163632","total_fee":"1","trade_type":"JSAPI","transaction_id":"4200000377201908201152423552"}
date:2019-08-20 16:36:33  SH2019082044172-1001
